charge_start_time,charge_end_time,mileage,charge_start_soc,charge_end_soc,charge_start_U,charge_end_U,charge_start_I,charge_end_I,charge_max_temp,charge_min_temp,charge_energy,charge_time,charge_soc,charge_U,charge_I,charge_temp
20171101000006,20171101012546,65730.6,36.0,100.0,553.2,597.0,-25.0,-2.0,38.0,27.0,80.49600000000001,12540,64.0,43.799999999999955,23.0,11.0
20171101131903,20171101134913,65877.4,43.0,85.0,552.7,573.8,-138.0,-190.0,40.0,28.0,54.114,3010,42.0,21.09999999999991,-52.0,12.0
20171101221353,20171101230903,66021.6,30.0,100.0,558.0,596.0,-179.0,-1.0,44.0,30.0,88.495,9550,70.0,38.0,178.0,14.0
20171102133846,20171102141256,66167.6,39.0,86.0,558.4,573.5,-151.0,-190.0,42.0,30.0,61.324,7410,47.0,15.100000000000023,-39.0,12.0
20171102222516,20171103000136,66311.8,28.0,100.0,550.8,598.0,-68.0,-5.0,43.0,32.0,89.654,777620,72.0,47.200000000000045,63.0,11.0
20171103000216,20171103000226,66311.7,100.0,100.0,590.3,589.3,-1.0,-3.0,43.0,37.0,0.003,10,0.0,1.0,-2.0,6.0
20171103135748,20171103143158,66459.3,40.0,88.0,558.0,574.2,-199.0,-190.0,43.0,28.0,63.21,7410,48.0,16.200000000000045,9.0,15.0
20171103221919,20171103235009,66603.3,31.0,100.0,553.6,594.6,-84.0,-5.0,44.0,32.0,85.515,13090,69.0,41.0,79.0,12.0
20171104141755,20171104144925,66751.0,42.0,85.0,559.0,573.4,-189.0,-189.0,41.0,30.0,56.288999999999994,3170,43.0,14.399999999999977,0.0,11.0
20171105020116,20171105030236,66895.9,30.0,100.0,553.3,593.8,-111.0,-1.0,42.0,29.0,88.994,10120,70.0,40.5,110.0,13.0
20171105115210,20171105120750,66987.8,64.0,98.0,567.0,573.7,-190.0,-9.0,38.0,28.0,25.285999999999998,5540,34.0,6.7000000000000455,181.0,10.0
20171105143650,20171105145420,67043.0,62.0,86.0,558.5,573.7,-189.0,-188.0,40.0,32.0,31.405,1770,24.0,15.200000000000045,1.0,8.0
20171106012058,20171106015838,67187.8,34.0,82.0,564.9,572.6,-173.0,-173.0,40.0,28.0,61.117,3780,48.0,7.7000000000000455,0.0,12.0
20171106020018,20171106021528,67187.8,82.0,100.0,569.0,593.3,-174.0,-1.0,42.0,34.0,20.214000000000002,1510,18.0,24.299999999999955,173.0,8.0
20171106132728,20171106135608,67335.9,44.0,85.0,560.7,573.8,-199.0,-190.0,40.0,28.0,53.711000000000006,2880,41.0,13.099999999999909,9.0,12.0
20171107220051,20171107233021,67771.0,32.0,100.0,555.1,587.7,-87.0,-2.0,37.0,24.0,83.85,12970,68.0,32.60000000000002,85.0,13.0
20171108135343,20171108142303,67918.6,44.0,84.0,560.2,574.5,-189.0,-188.0,37.0,24.0,52.574,6960,40.0,14.299999999999955,1.0,13.0
20171109003721,20171109013351,68063.2,30.0,100.0,563.3,593.9,-173.0,-1.0,41.0,26.0,87.277,9630,70.0,30.600000000000023,172.0,15.0
20171109141456,20171109144526,68211.3,43.0,85.0,561.2,573.5,-193.0,-188.0,41.0,29.0,54.549,3070,42.0,12.299999999999955,5.0,12.0
20171110014536,20171110023736,68356.1,30.0,100.0,550.1,595.2,-18.0,-2.0,44.0,28.0,86.98700000000001,9200,70.0,45.10000000000002,16.0,16.0
20171110143212,20171110143222,68503.6,42.0,42.0,559.2,562.2,-178.0,-199.0,37.0,31.0,0.294,10,0.0,3.0,-21.0,6.0
20171110143412,20171110150312,68503.6,42.0,84.0,558.1,573.0,-179.0,-189.0,43.0,31.0,54.255,6900,42.0,14.899999999999977,-10.0,12.0
20171111013742,20171111031312,68647.7,29.0,100.0,550.9,593.2,-64.0,-4.0,43.0,31.0,88.50399999999999,17570,71.0,42.30000000000007,60.0,12.0
20171111132936,20171111135756,68795.0,44.0,83.0,558.8,572.8,-132.0,-189.0,43.0,31.0,50.79600000000001,2820,39.0,14.0,-57.0,12.0
20171111222326,20171111235916,68939.1,29.0,100.0,552.8,598.1,-98.0,-2.0,43.0,31.0,88.77,13590,71.0,45.30000000000007,96.0,12.0
20171112134324,20171112141134,69085.7,44.0,83.0,561.2,573.1,-189.0,-190.0,41.0,28.0,49.578,6810,39.0,11.899999999999977,-1.0,13.0
20171112221814,20171112231444,69230.0,29.0,100.0,550.4,594.9,-41.0,-2.0,44.0,28.0,87.73299999999999,9630,71.0,44.5,39.0,16.0
20171113122230,20171113123140,69251.3,92.0,100.0,565.3,600.1,-154.0,-7.0,33.0,28.0,10.665999999999999,910,8.0,34.80000000000007,147.0,5.0
20171113223357,20171113235807,69432.1,35.0,100.0,559.8,595.8,-100.0,-3.0,35.0,28.0,78.997,12450,65.0,36.0,97.0,7.0
20171113235847,20171113235907,69432.1,100.0,100.0,588.0,586.0,-1.0,-3.0,35.0,30.0,0.006,60,0.0,2.0,-2.0,5.0
20171114141423,20171114144043,69579.5,47.0,83.0,561.4,574.4,-189.0,-189.0,36.0,25.0,47.44,2620,36.0,13.0,0.0,11.0
20171115002654,20171115015534,69723.7,34.0,100.0,553.8,590.4,-53.0,-4.0,38.0,28.0,82.861,12880,66.0,36.60000000000002,49.0,10.0
20171115145420,20171115151750,69871.0,48.0,81.0,566.4,564.7,-198.0,-9.0,36.0,24.0,43.608999999999995,6330,33.0,1.6999999999999318,189.0,12.0
20171116004212,20171116013642,70015.6,30.0,100.0,563.9,594.0,-183.0,-2.0,39.0,28.0,87.65100000000001,9430,70.0,30.100000000000023,181.0,11.0
20171116132125,20171116134345,70162.4,50.0,82.0,565.5,573.8,-199.0,-191.0,38.0,27.0,41.994,2220,32.0,8.299999999999955,8.0,11.0
20171117020145,20171117033035,70306.6,33.0,100.0,551.7,596.9,-15.0,-3.0,38.0,28.0,83.36200000000001,12890,67.0,45.19999999999993,12.0,10.0
20171117033055,20171117033105,70306.6,100.0,100.0,591.0,589.0,-4.0,-4.0,38.0,33.0,0.006999999999999999,50,0.0,2.0,0.0,5.0
20171117133455,20171117140015,70453.9,47.0,84.0,552.7,573.5,-97.0,-190.0,40.0,29.0,47.376999999999995,6560,37.0,20.799999999999955,-93.0,11.0
20171117215715,20171117232926,70597.7,33.0,100.0,557.9,596.4,-98.0,-2.0,42.0,30.0,82.836,17211,67.0,38.5,96.0,12.0
20171118135943,20171118142443,70744.9,47.0,84.0,561.1,573.8,-199.0,-190.0,39.0,28.0,46.933,6500,37.0,12.699999999999932,9.0,11.0
20171118220024,20171118233054,70889.1,32.0,98.0,558.0,599.3,-98.0,-38.0,39.0,28.0,83.95100000000001,13030,66.0,41.299999999999955,60.0,11.0
20171118233154,20171118233204,70889.1,100.0,100.0,586.1,585.1,-2.0,-2.0,39.0,33.0,0.003,50,0.0,1.0,0.0,6.0
20171119142150,20171119145740,71037.0,45.0,98.0,561.9,573.7,-179.0,-9.0,34.0,28.0,48.187,3590,53.0,11.800000000000068,170.0,6.0
20171120020235,20171120033425,71180.9,30.0,100.0,555.2,590.4,-95.0,-6.0,34.0,22.0,85.927,13190,70.0,35.19999999999993,89.0,12.0
20171120115404,20171120120844,71273.9,64.0,85.0,560.5,565.8,-189.0,-9.0,31.0,23.0,26.159000000000002,5440,21.0,5.2999999999999545,180.0,8.0
20171120143544,20171120143604,71329.0,65.0,65.0,557.9,566.4,-159.0,-205.0,30.0,24.0,0.557,60,0.0,8.5,-46.0,6.0
20171120144604,20171120145834,71329.0,65.0,84.0,560.9,575.8,-199.0,-190.0,33.0,24.0,23.541,1230,19.0,14.899999999999977,9.0,9.0
20171121020004,20171121061504,71473.5,31.0,98.0,557.2,573.7,-100.0,-9.0,32.0,28.0,90.12100000000001,41500,67.0,16.5,91.0,4.0
